time, slave::Switch.Ground1.p.u[REAL], slave::HeatCapacity1.p.T[REAL], slave::Ground.p1.u[REAL], slave::Switch.Ground1.p1.u[REAL], slave::Ground.p2.u[REAL], slave::Ramp.stop_time[REAL], slave::Switch.Ground1.p.i[REAL], slave::Ground.p1.i[REAL], slave::Switch.Ground1.p1.i[REAL], slave::Ground.p2.i[REAL], slave::HeatCapacity1.E[REAL], slave::Switch.Node1.p2.u[REAL], slave::HeatCapacity1.p1.T[REAL], slave::Switch.Resistance12.vt[REAL], slave::Ground.p.u[REAL], slave::Ground.p.i[REAL], slave::Thermistor.alpha[REAL], slave::HeatCapacity1.p2.T[REAL], slave::Ramp.slope[REAL], slave::ThermalConductor.p_low.dQ[REAL], slave::HeatCapacity1.p3.T[REAL], slave::Switch.Ground2.p.i[REAL], slave::HeatCapacity1.p1.dQ[REAL], slave::Switch.R1.p.u[REAL], slave::HeatCapacity1.p2.dQ[REAL], slave::HeatCapacity1.p3.dQ[REAL], slave::HeatCapacity1.C[REAL], slave::Switch.Ground2.p1.u[REAL], slave::HeatCapacity1.T0[REAL], slave::Switch.Ground2.p.u[REAL], slave::Switch.input[REAL], slave::OnOffController.input[REAL], slave::OnOffController.output[REAL], slave::Switch.R1.p_low.u[REAL], slave::OnOffController.reference[REAL], slave::OnOffController.bandwidth[REAL], slave::Switch.Resistance12.Roff[REAL], slave::Switch.Node1.p1.i[REAL], slave::Ramp.output[REAL], slave::Switch.Node2.p3.i[REAL], slave::ZeroJunction.p1.dQ[REAL], slave::Ramp.start_time[REAL], slave::Splitter2.output1[REAL], slave::Switch.Node2.p2.i[REAL], slave::Ramp.offset[REAL], slave::Switch.Node2.p1.u[REAL], slave::Splitter2.output2[REAL], slave::Splitter1.input[REAL], slave::Splitter1.output1[REAL], slave::Splitter1.output2[REAL], slave::Switch.R1.p_high.i[REAL], slave::ThermalConductor.p_high.T[REAL], slave::Splitter2.input[REAL], slave::Switch.R1.R[REAL], slave::Switch.Ground2.p1.i[REAL], slave::Switch.Node1.p1.u[REAL], slave::Switch.Node1.p3.u[REAL], slave::Switch.Node1.p2.i[REAL], slave::Switch.Node2.p2.u[REAL], slave::Switch.Node2.p3.u[REAL], slave::Switch.Node2.p1.i[REAL], slave::Switch.R1.p.i[REAL], slave::Switch.R1.p_high.u[REAL], slave::Switch.R1.p_low.i[REAL], slave::Switch.R2.p.u[REAL], slave::Switch.R2.p.i[REAL], slave::Switch.R2.p_high.u[REAL], slave::Switch.R2.p_high.i[REAL], slave::Switch.R2.p_low.u[REAL], slave::Switch.R2.p_low.i[REAL], slave::Switch.R2.R[REAL], slave::Switch.Resistance12.p.u[REAL], slave::Switch.Resistance12.p.i[REAL], slave::Switch.Resistance12.p_high.u[REAL], slave::Switch.Resistance12.p_high.i[REAL], slave::Switch.Resistance12.p_low.u[REAL], slave::Switch.Resistance12.p_low.i[REAL], slave::Switch.Resistance12.input[REAL], slave::Switch.Resistance12.Ron[REAL], slave::Switch.Resistance12.R[REAL], slave::Thermistor.R[REAL], slave::Switch.p2.u[REAL], slave::Switch.p2.i[REAL], slave::Switch.p1.u[REAL], slave::Switch.p1.i[REAL], slave::TemperatureSource.p.T[REAL], slave::TemperatureSource.p.dQ[REAL], slave::Thermistor.p_th.dQ[REAL], slave::TemperatureSource.T[REAL], slave::ThermalConductor.p.T[REAL], slave::ThermalConductor.p.dQ[REAL], slave::ThermalConductor.p_high.dQ[REAL], slave::ThermalConductor.p_low.T[REAL], slave::ThermalConductor.G[REAL], slave::Thermistor.p_el.u[REAL], slave::Thermistor.p_el.i[REAL], slave::Thermistor.p_el_high.u[REAL], slave::Thermistor.p_el_high.i[REAL], slave::Thermistor.p_el_low.u[REAL], slave::Thermistor.p_el_low.i[REAL], slave::Thermistor.p_th.T[REAL], slave::Thermistor.R_ref[REAL], slave::Thermistor.T_ref[REAL], slave::VoltageSource.p.u[REAL], slave::VoltageSource.p.i[REAL], slave::VoltageSource.p_high.u[REAL], slave::VoltageSource.p_high.i[REAL], slave::VoltageSource.p_low.u[REAL], slave::VoltageSource.p_low.i[REAL], slave::VoltageSource.U[REAL], slave::ZeroJunction.effort[REAL], slave::ZeroJunction.p1.T[REAL], slave::Temperature_Reference[REAL], slave::Temperature_Room[REAL], slave::HeatCapacity1.p.dQ[REAL], slave::HeatCapacity1.p.dQ_int[REAL], slave::HeatCapacity1.p.dQ_int_initial[REAL], slave::Switch.Node1.p3.i[REAL], slave::OnOffController.currentState[BOOL], slave::OnOffController.newState[BOOL]
0, 0.000000, 298.000000, 0.000000, 0.000000, 0.000000, 16.000000, 0.000002, 0.000100, 0.000002, 0.000102, 29.800000, 0.001019, 298.000000, 0.500000, 0.000000, -0.000002, 0.004000, 298.000000, 4.166670, -0.485000, 298.000000, 0.000000, -0.485000, 10.000000, 0.000000, 0.000000, 0.100000, 0.000000, 298.000000, 0.000000, 0.000000, 298.000000, 0.000000, 0.000000, 298.150000, 2.000000, 100000.000000, 0.000100, 298.150000, 0.000102, 0.000000, 8.000000, 298.000000, 0.000100, 298.150000, 10.000000, 298.000000, 298.150000, 298.150000, 298.150000, 0.000002, 293.150000, 298.000000, 5000000.000000, 0.000000, 0.001019, 0.001019, 0.000000, 10.000000, 10.000000, 0.000002, 0.000002, 10.000000, 0.000002, 0.001019, 0.000000, 0.001019, 0.000000, 0.000000, 0.000000, 5000000.000000, 9.998981, 0.000100, 10.000000, 0.000100, 0.001019, 0.000100, 0.000000, 0.000010, 100000.000000, 10.194000, 0.001019, 0.000100, 10.000000, 0.000102, 293.150000, -0.485000, 0.000000, 293.150000, -4.850000, -0.485000, -0.485000, 298.000000, 0.100000, 0.001019, 0.000100, 0.001019, 0.000100, 0.000000, 0.000100, 298.000000, 10.000000, 293.150000, 10.000000, 0.000102, 10.000000, 0.000102, 0.000000, 0.000102, 10.000000, 298.000000, 298.000000, 25.000000, 24.850000, -0.485000, 0.000000, 0.000000, 0.000100, 0, 0
0.02, 0.000000, 297.903964, 0.000000, 0.000000, 0.000000, 16.000000, 0.000002, 0.000100, 0.000002, 0.000102, 29.790396, 0.001019, 297.903964, 0.500000, 0.000000, -0.000002, 0.004000, 297.903964, 4.166670, -0.475396, 297.903964, 0.000000, -0.475396, 10.000000, 0.000000, 0.000000, 0.100000, 0.000000, 298.000000, 0.000000, 0.000000, 297.903964, 0.000000, 0.000000, 298.150000, 2.000000, 100000.000000, 0.000100, 298.150000, 0.000102, 0.000000, 8.000000, 297.903964, 0.000100, 298.150000, 10.000000, 297.903964, 298.150000, 298.150000, 298.150000, 0.000002, 293.150000, 297.903964, 5000000.000000, 0.000000, 0.001019, 0.001019, 0.000000, 10.000000, 10.000000, 0.000002, 0.000002, 10.000000, 0.000002, 0.001019, 0.000000, 0.001019, 0.000000, 0.000000, 0.000000, 5000000.000000, 9.998981, 0.000100, 10.000000, 0.000100, 0.001019, 0.000100, 0.000000, 0.000010, 100000.000000, 10.190159, 0.001019, 0.000100, 10.000000, 0.000102, 293.150000, -0.475396, 0.000000, 293.150000, -4.753964, -0.475396, -0.475396, 297.903964, 0.100000, 0.001019, 0.000100, 0.001019, 0.000100, 0.000000, 0.000100, 297.903964, 10.000000, 293.150000, 10.000000, 0.000102, 10.000000, 0.000102, 0.000000, 0.000102, 10.000000, 297.903964, 297.903964, 25.000000, 24.753964, -0.475396, -0.009604, 0.000000, 0.000100, 0, 0
0.04, 0.000000, 297.809829, 0.000000, 0.000000, 0.000000, 16.000000, 0.000002, 0.000100, 0.000002, 0.000102, 29.780983, 0.001019, 297.809829, 0.500000, 0.000000, -0.000002, 0.004000, 297.809829, 4.166670, -0.465983, 297.809829, 0.000000, -0.465983, 10.000000, 0.000000, 0.000000, 0.100000, 0.000000, 298.000000, 0.000000, 0.000000, 297.809829, 0.000000, 0.000000, 298.150000, 2.000000, 100000.000000, 0.000100, 298.150000, 0.000102, 0.000000, 8.000000, 297.809829, 0.000100, 298.150000, 10.000000, 297.809829, 298.150000, 298.150000, 298.150000, 0.000002, 293.150000, 297.809829, 5000000.000000, 0.000000, 0.001019, 0.001019, 0.000000, 10.000000, 10.000000, 0.000002, 0.000002, 10.000000, 0.000002, 0.001019, 0.000000, 0.001019, 0.000000, 0.000000, 0.000000, 5000000.000000, 9.998981, 0.000100, 10.000000, 0.000100, 0.001019, 0.000100, 0.000000, 0.000010, 100000.000000, 10.186393, 0.001019, 0.000100, 10.000000, 0.000102, 293.150000, -0.465983, 0.000000, 293.150000, -4.659829, -0.465983, -0.465983, 297.809829, 0.100000, 0.001019, 0.000100, 0.001019, 0.000100, 0.000000, 0.000100, 297.809829, 10.000000, 293.150000, 10.000000, 0.000102, 10.000000, 0.000102, 0.000000, 0.000102, 10.000000, 297.809829, 297.809829, 25.000000, 24.659829, -0.465983, -0.019017, 0.000000, 0.000100, 0, 0
0.06, 0.000000, 297.717558, 0.000000, 0.000000, 0.000000, 16.000000, 0.000002, 0.000100, 0.000002, 0.000102, 29.771756, 0.001018, 297.717558, 0.500000, 0.000000, -0.000002, 0.004000, 297.717558, 4.166670, -0.456756, 297.717558, 0.000000, -0.456756, 10.000000, 0.000000, 0.000000, 0.100000, 0.000000, 298.000000, 0.000000, 0.000000, 297.717558, 0.000000, 0.000000, 298.150000, 2.000000, 100000.000000, 0.000100, 298.150000, 0.000102, 0.000000, 8.000000, 297.717558, 0.000100, 298.150000, 10.000000, 297.717558, 298.150000, 298.150000, 298.150000, 0.000002, 293.150000, 297.717558, 5000000.000000, 0.000000, 0.001018, 0.001018, 0.000000, 10.000000, 10.000000, 0.000002, 0.000002, 10.000000, 0.000002, 0.001018, 0.000000, 0.001018, 0.000000, 0.000000, 0.000000, 5000000.000000, 9.998982, 0.000100, 10.000000, 0.000100, 0.001018, 0.000100, 0.000000, 0.000010, 100000.000000, 10.182702, 0.001018, 0.000100, 10.000000, 0.000102, 293.150000, -0.456756, 0.000000, 293.150000, -4.567558, -0.456756, -0.456756, 297.717558, 0.100000, 0.001018, 0.000100, 0.001018, 0.000100, 0.000000, 0.000100, 297.717558, 10.000000, 293.150000, 10.000000, 0.000102, 10.000000, 0.000102, 0.000000, 0.000102, 10.000000, 297.717558, 297.717558, 25.000000, 24.567558, -0.456756, -0.028244, 0.000000, 0.000100, 0, 0
0.08, 0.000000, 297.627114, 0.000000, 0.000000, 0.000000, 16.000000, 0.000002, 0.000100, 0.000002, 0.000102, 29.762711, 0.001018, 297.627114, 0.500000, 0.000000, -0.000002, 0.004000, 297.627114, 4.166670, -0.447711, 297.627114, 0.000000, -0.447711, 10.000000, 0.000000, 0.000000, 0.100000, 0.000000, 298.000000, 0.000000, 0.000000, 297.627114, 0.000000, 0.000000, 298.150000, 2.000000, 100000.000000, 0.000100, 298.150000, 0.000102, 0.000000, 8.000000, 297.627114, 0.000100, 298.150000, 10.000000, 297.627114, 298.150000, 298.150000, 298.150000, 0.000002, 293.150000, 297.627114, 5000000.000000, 0.000000, 0.001018, 0.001018, 0.000000, 10.000000, 10.000000, 0.000002, 0.000002, 10.000000, 0.000002, 0.001018, 0.000000, 0.001018, 0.000000, 0.000000, 0.000000, 5000000.000000, 9.998982, 0.000100, 10.000000, 0.000100, 0.001018, 0.000100, 0.000000, 0.000010, 100000.000000, 10.179085, 0.001018, 0.000100, 10.000000, 0.000102, 293.150000, -0.447711, 0.000000, 293.150000, -4.477114, -0.447711, -0.447711, 297.627114, 0.100000, 0.001018, 0.000100, 0.001018, 0.000100, 0.000000, 0.000100, 297.627114, 10.000000, 293.150000, 10.000000, 0.000102, 10.000000, 0.000102, 0.000000, 0.000102, 10.000000, 297.627114, 297.627114, 25.000000, 24.477114, -0.447711, -0.037289, 0.000000, 0.000100, 0, 0
0.1, 0.000000, 297.538462, 0.000000, 0.000000, 0.000000, 16.000000, 0.000002, 0.000100, 0.000002, 0.000102, 29.753846, 0.001017, 297.538462, 0.500000, 0.000000, -0.000002, 0.004000, 297.538462, 4.166670, -0.438846, 297.538462, 0.000000, -0.438846, 10.000000, 0.000000, 0.000000, 0.100000, 0.000000, 298.000000, 0.000000, 0.000000, 297.538462, 0.000000, 0.000000, 298.150000, 2.000000, 100000.000000, 0.000100, 298.150000, 0.000102, 0.000000, 8.000000, 297.538462, 0.000100, 298.150000, 10.000000, 297.538462, 298.150000, 298.150000, 298.150000, 0.000002, 293.150000, 297.538462, 5000000.000000, 0.000000, 0.001017, 0.001017, 0.000000, 10.000000, 10.000000, 0.000002, 0.000002, 10.000000, 0.000002, 0.001017, 0.000000, 0.001017, 0.000000, 0.000000, 0.000000, 5000000.000000, 9.998983, 0.000100, 10.000000, 0.000100, 0.001017, 0.000100, 0.000000, 0.000010, 100000.000000, 10.175538, 0.001017, 0.000100, 10.000000, 0.000102, 293.150000, -0.438846, 0.000000, 293.150000, -4.388462, -0.438846, -0.438846, 297.538462, 0.100000, 0.001017, 0.000100, 0.001017, 0.000100, 0.000000, 0.000100, 297.538462, 10.000000, 293.150000, 10.000000, 0.000102, 10.000000, 0.000102, 0.000000, 0.000102, 10.000000, 297.538462, 297.538462, 25.000000, 24.388462, -0.438846, -0.046154, 0.000000, 0.000100, 0, 0
0.12, 0.000000, 297.451564, 0.000000, 0.000000, 0.000000, 16.000000, 0.000002, 0.000100, 0.000002, 0.000102, 29.745156, 0.001017, 297.451564, 0.500000, 0.000000, -0.000002, 0.004000, 297.451564, 4.166670, -0.430156, 297.451564, 0.000000, -0.430156, 10.000000, 0.000000, 0.000000, 0.100000, 0.000000, 298.000000, 0.000000, 0.000000, 297.451564, 0.000000, 0.000000, 298.150000, 2.000000, 100000.000000, 0.000100, 298.150000, 0.000102, 0.000000, 8.000000, 297.451564, 0.000100, 298.150000, 10.000000, 297.451564, 298.150000, 298.150000, 298.150000, 0.000002, 293.150000, 297.451564, 5000000.000000, 0.000000, 0.001017, 0.001017, 0.000000, 10.000000, 10.000000, 0.000002, 0.000002, 10.000000, 0.000002, 0.001017, 0.000000, 0.001017, 0.000000, 0.000000, 0.000000, 5000000.000000, 9.998983, 0.000100, 10.000000, 0.000100, 0.001017, 0.000100, 0.000000, 0.000010, 100000.000000, 10.172063, 0.001017, 0.000100, 10.000000, 0.000102, 293.150000, -0.430156, 0.000000, 293.150000, -4.301564, -0.430156, -0.430156, 297.451564, 0.100000, 0.001017, 0.000100, 0.001017, 0.000100, 0.000000, 0.000100, 297.451564, 10.000000, 293.150000, 10.000000, 0.000102, 10.000000, 0.000102, 0.000000, 0.000102, 10.000000, 297.451564, 297.451564, 25.000000, 24.301564, -0.430156, -0.054844, 0.000000, 0.000100, 0, 0
0.14, 0.000000, 297.366388, 0.000000, 0.000000, 0.000000, 16.000000, 0.000002, 0.000100, 0.000002, 0.000102, 29.736639, 0.001017, 297.366388, 0.500000, 0.000000, -0.000002, 0.004000, 297.366388, 4.166670, -0.421639, 297.366388, 0.000000, -0.421639, 10.000000, 0.000000, 0.000000, 0.100000, 0.000000, 298.000000, 0.000000, 0.000000, 297.366388, 0.000000, 0.000000, 298.150000, 2.000000, 100000.000000, 0.000100, 298.150000, 0.000102, 0.000000, 8.000000, 297.366388, 0.000100, 298.150000, 10.000000, 297.366388, 298.150000, 298.150000, 298.150000, 0.000002, 293.150000, 297.366388, 5000000.000000, 0.000000, 0.001017, 0.001017, 0.000000, 10.000000, 10.000000, 0.000002, 0.000002, 10.000000, 0.000002, 0.001017, 0.000000, 0.001017, 0.000000, 0.000000, 0.000000, 5000000.000000, 9.998983, 0.000100, 10.000000, 0.000100, 0.001017, 0.000100, 0.000000, 0.000010, 100000.000000, 10.168656, 0.001017, 0.000100, 10.000000, 0.000102, 293.150000, -0.421639, 0.000000, 293.150000, -4.216388, -0.421639, -0.421639, 297.366388, 0.100000, 0.001017, 0.000100, 0.001017, 0.000100, 0.000000, 0.000100, 297.366388, 10.000000, 293.150000, 10.000000, 0.000102, 10.000000, 0.000102, 0.000000, 0.000102, 10.000000, 297.366388, 297.366388, 25.000000, 24.216388, -0.421639, -0.063361, 0.000000, 0.000100, 0, 0
0.16, 0.000000, 297.282898, 0.000000, 0.000000, 0.000000, 16.000000, 0.000002, 0.000100, 0.000002, 0.000102, 29.728290, 0.001016, 297.282898, 0.500000, 0.000000, -0.000002, 0.004000, 297.282898, 4.166670, -0.413290, 297.282898, 0.000000, -0.413290, 10.000000, 0.000000, 0.000000, 0.100000, 0.000000, 298.000000, 0.000000, 0.000000, 297.282898, 0.000000, 0.000000, 298.150000, 2.000000, 100000.000000, 0.000100, 298.150000, 0.000102, 0.000000, 8.000000, 297.282898, 0.000100, 298.150000, 10.000000, 297.282898, 298.150000, 298.150000, 298.150000, 0.000002, 293.150000, 297.282898, 5000000.000000, 0.000000, 0.001016, 0.001016, 0.000000, 10.000000, 10.000000, 0.000002, 0.000002, 10.000000, 0.000002, 0.001016, 0.000000, 0.001016, 0.000000, 0.000000, 0.000000, 5000000.000000, 9.998984, 0.000100, 10.000000, 0.000100, 0.001016, 0.000100, 0.000000, 0.000010, 100000.000000, 10.165316, 0.001016, 0.000100, 10.000000, 0.000102, 293.150000, -0.413290, 0.000000, 293.150000, -4.132898, -0.413290, -0.413290, 297.282898, 0.100000, 0.001016, 0.000100, 0.001016, 0.000100, 0.000000, 0.000100, 297.282898, 10.000000, 293.150000, 10.000000, 0.000102, 10.000000, 0.000102, 0.000000, 0.000102, 10.000000, 297.282898, 297.282898, 25.000000, 24.132898, -0.413290, -0.071710, 0.000000, 0.000100, 0, 0
0.18, 0.000000, 297.201061, 0.000000, 0.000000, 0.000000, 16.000000, 0.000002, 0.000100, 0.000002, 0.000102, 29.720106, 0.001016, 297.201061, 0.500000, 0.000000, -0.000002, 0.004000, 297.201061, 4.166670, -0.405106, 297.201061, 0.000000, -0.405106, 10.000000, 0.000000, 0.000000, 0.100000, 0.000000, 298.000000, 0.000000, 0.000000, 297.201061, 0.000000, 0.000000, 298.150000, 2.000000, 100000.000000, 0.000100, 298.150000, 0.000102, 0.000000, 8.000000, 297.201061, 0.000100, 298.150000, 10.000000, 297.201061, 298.150000, 298.150000, 298.150000, 0.000002, 293.150000, 297.201061, 5000000.000000, 0.000000, 0.001016, 0.001016, 0.000000, 10.000000, 10.000000, 0.000002, 0.000002, 10.000000, 0.000002, 0.001016, 0.000000, 0.001016, 0.000000, 0.000000, 0.000000, 5000000.000000, 9.998984, 0.000100, 10.000000, 0.000100, 0.001016, 0.000100, 0.000000, 0.000010, 100000.000000, 10.162042, 0.001016, 0.000100, 10.000000, 0.000102, 293.150000, -0.405106, 0.000000, 293.150000, -4.051061, -0.405106, -0.405106, 297.201061, 0.100000, 0.001016, 0.000100, 0.001016, 0.000100, 0.000000, 0.000100, 297.201061, 10.000000, 293.150000, 10.000000, 0.000102, 10.000000, 0.000102, 0.000000, 0.000102, 10.000000, 297.201061, 297.201061, 25.000000, 24.051061, -0.405106, -0.079894, 0.000000, 0.000100, 0, 0
