time, chassis::zChassis[REAL], wheel::zWheel[REAL], ground::zGround[REAL]
0, 1.000000, 0.500000, 0.000000
0.01, 1.000000, 0.500153, 0.000000
0.02, 1.000002, 0.500251, 0.000000
0.03, 1.000006, 0.500240, 0.000000
0.04, 1.000011, 0.500114, 0.000000
0.05, 1.000013, 0.499944, 0.000000
0.06, 1.000010, 0.499824, 0.000000
0.07, 1.000004, 0.499812, 0.000000
0.08, 0.999997, 0.499905, 0.000000
0.09, 0.999991, 0.500043, 0.000000
0.1, 0.999989, 0.500149, 0.000000
0.11, 0.999989, 0.500170, 0.000000
0.12, 0.999990, 0.500100, 0.000000
0.13, 0.999989, 0.499987, 0.000000
0.14, 0.999986, 0.499892, 0.000000
0.15, 0.999980, 0.499866, 0.000000
0.16, 0.999973, 0.499915, 0.000000
0.17, 0.999967, 0.500007, 0.000000
0.18, 0.999962, 0.500088, 0.000000
0.19, 0.999960, 0.500117, 0.000000
0.2, 0.999959, 0.500081, 0.000000
0.21, 0.999957, 0.500007, 0.000000
0.22, 0.999953, 0.499936, 0.000000
0.23, 0.999948, 0.499906, 0.000000
0.24, 0.999941, 0.499929, 0.000000
0.25, 0.999935, 0.499987, 0.000000
0.26, 0.999930, 0.500047, 0.000000
0.27, 0.999927, 0.500076, 0.000000
0.28, 0.999925, 0.500061, 0.000000
0.29, 0.999923, 0.500014, 0.000000
0.3, 0.999919, 0.499963, 0.000000
0.31, 0.999915, 0.499934, 0.000000
0.32, 0.999910, 0.499942, 0.000000
0.33, 0.999905, 0.499979, 0.000000
0.34, 0.999900, 0.500021, 0.000000
0.35, 0.999897, 0.500047, 0.000000
0.36, 0.999895, 0.500044, 0.000000
0.37, 0.999893, 0.500015, 0.000000
0.38, 0.999891, 0.499979, 0.000000
0.39, 0.999888, 0.499955, 0.000000
0.4, 0.999884, 0.499955, 0.000000
0.41, 0.999881, 0.499976, 0.000000
0.42, 0.999878, 0.500006, 0.000000
0.43, 0.999876, 0.500027, 0.000000
0.44, 0.999875, 0.500030, 0.000000
0.45, 0.999874, 0.500013, 0.000000
0.46, 0.999873, 0.499989, 0.000000
0.47, 0.999872, 0.499970, 0.000000
0.48, 0.999870, 0.499966, 0.000000
0.49, 0.999868, 0.499978, 0.000000
0.5, 0.999867, 0.499998, 0.000000
0.51, 0.999866, 0.500015, 0.000000
0.52, 0.999866, 0.500019, 0.000000
0.53, 0.999867, 0.500011, 0.000000
0.54, 0.999867, 0.499995, 0.000000
0.55, 0.999867, 0.499980, 0.000000
0.56, 0.999867, 0.499975, 0.000000
0.57, 0.999867, 0.499981, 0.000000
0.58, 0.999867, 0.499994, 0.000000
0.59, 0.999868, 0.500007, 0.000000
0.6, 0.999869, 0.500013, 0.000000
0.61, 0.999871, 0.500009, 0.000000
0.62, 0.999872, 0.499999, 0.000000
0.63, 0.999874, 0.499988, 0.000000
0.64, 0.999875, 0.499983, 0.000000
0.65, 0.999877, 0.499986, 0.000000
0.66, 0.999878, 0.499994, 0.000000
0.67, 0.999880, 0.500004, 0.000000
0.68, 0.999882, 0.500009, 0.000000
0.69, 0.999884, 0.500008, 0.000000
0.7, 0.999886, 0.500001, 0.000000
0.71, 0.999888, 0.499994, 0.000000
0.72, 0.999891, 0.499990, 0.000000
0.73, 0.999893, 0.499990, 0.000000
0.74, 0.999895, 0.499996, 0.000000
0.75, 0.999897, 0.500002, 0.000000
0.76, 0.999899, 0.500007, 0.000000
0.77, 0.999902, 0.500007, 0.000000
0.78, 0.999904, 0.500003, 0.000000
0.79, 0.999907, 0.499998, 0.000000
0.8, 0.999909, 0.499995, 0.000000
0.81, 0.999911, 0.499994, 0.000000
0.82, 0.999913, 0.499997, 0.000000
0.83, 0.999916, 0.500002, 0.000000
0.84, 0.999918, 0.500006, 0.000000
0.85, 0.999920, 0.500007, 0.000000
0.86, 0.999922, 0.500005, 0.000000
0.87, 0.999925, 0.500001, 0.000000
0.88, 0.999927, 0.499998, 0.000000
0.89, 0.999929, 0.499998, 0.000000
0.9, 0.999930, 0.499999, 0.000000
0.91, 0.999932, 0.500002, 0.000000
0.92, 0.999934, 0.500005, 0.000000
0.93, 0.999935, 0.500006, 0.000000
0.94, 0.999937, 0.500005, 0.000000
0.95, 0.999938, 0.500003, 0.000000
0.96, 0.999940, 0.500001, 0.000000
0.97, 0.999941, 0.500000, 0.000000
0.98, 0.999942, 0.500001, 0.000000
0.99, 0.999943, 0.500002, 0.000000
1, 0.999944, 0.500004, 0.100000
1.01, 0.999945, 0.503631, 0.100000
1.02, 1.000083, 0.526466, 0.100000
1.03, 1.000834, 0.571795, 0.100000
1.04, 1.002834, 0.625204, 0.100000
1.05, 1.006423, 0.664567, 0.100000
1.06, 1.011390, 0.674246, 0.100000
1.07, 1.017069, 0.654097, 0.100000
1.08, 1.022686, 0.618931, 0.100000
1.09, 1.027751, 0.589723, 0.100000
1.1, 1.032273, 0.582136, 0.100000
1.11, 1.036689, 0.598781, 0.100000
1.12, 1.041582, 0.629061, 0.100000
1.13, 1.047342, 0.656028, 0.100000
1.14, 1.053960, 0.665990, 0.100000
1.15, 1.061059, 0.655517, 0.100000
1.16, 1.068111, 0.632360, 0.100000
1.17, 1.074721, 0.610325, 0.100000
1.18, 1.080811, 0.601384, 0.100000
1.19, 1.086623, 0.609466, 0.100000
1.2, 1.092546, 0.629083, 0.100000
1.21, 1.098885, 0.649087, 0.100000
1.22, 1.105696, 0.659116, 0.100000
1.23, 1.112763, 0.655033, 0.100000
1.24, 1.119729, 0.640575, 0.100000
1.25, 1.126284, 0.624660, 0.100000
1.26, 1.132320, 0.616175, 0.100000
1.27, 1.137955, 0.619249, 0.100000
1.28, 1.143443, 0.631475, 0.100000
1.29, 1.149016, 0.645779, 0.100000
1.3, 1.154754, 0.654597, 0.100000
1.31, 1.160547, 0.653949, 0.100000
1.32, 1.166163, 0.645235, 0.100000
1.33, 1.171372, 0.634009, 0.100000
1.34, 1.176066, 0.626654, 0.100000
1.35, 1.180296, 0.626907, 0.100000
1.36, 1.184225, 0.634104, 0.100000
1.37, 1.188026, 0.643932, 0.100000
1.38, 1.191784, 0.651043, 0.100000
1.39, 1.195457, 0.651999, 0.100000
1.4, 1.198901, 0.646931, 0.100000
1.41, 1.201958, 0.639146, 0.100000
1.42, 1.204535, 0.633091, 0.100000
1.43, 1.206647, 0.631877, 0.100000
1.44, 1.208400, 0.635746, 0.100000
1.45, 1.209923, 0.642197, 0.100000
1.46, 1.211298, 0.647563, 0.100000
1.47, 1.212521, 0.649068, 0.100000
1.48, 1.213512, 0.646224, 0.100000
1.49, 1.214169, 0.640889, 0.100000
1.5, 1.214420, 0.636068, 0.100000
1.51, 1.214267, 0.634211, 0.100000
1.52, 1.213777, 0.635960, 0.100000
1.53, 1.213047, 0.639967, 0.100000
1.54, 1.212151, 0.643793, 0.100000
1.55, 1.211108, 0.645301, 0.100000
1.56, 1.209881, 0.643769, 0.100000
1.57, 1.208406, 0.640149, 0.100000
1.58, 1.206634, 0.636411, 0.100000
1.59, 1.204563, 0.634403, 0.100000
1.6, 1.202237, 0.634882, 0.100000
1.61, 1.199727, 0.637204, 0.100000
1.62, 1.197098, 0.639797, 0.100000
1.63, 1.194377, 0.641081, 0.100000
1.64, 1.191555, 0.640307, 0.100000
1.65, 1.188596, 0.637886, 0.100000
1.66, 1.185469, 0.635066, 0.100000
1.67, 1.182170, 0.633194, 0.100000
1.68, 1.178728, 0.632990, 0.100000
1.69, 1.175197, 0.634220, 0.100000
1.7, 1.171626, 0.635910, 0.100000
1.71, 1.168048, 0.636925, 0.100000
1.72, 1.164466, 0.636593, 0.100000
1.73, 1.160862, 0.635023, 0.100000
1.74, 1.157216, 0.632971, 0.100000
1.75, 1.153526, 0.631389, 0.100000
1.76, 1.149809, 0.630896, 0.100000
1.77, 1.146102, 0.631479, 0.100000
1.78, 1.142444, 0.632559, 0.100000
1.79, 1.138864, 0.633349, 0.100000
1.8, 1.135369, 0.633292, 0.100000
1.81, 1.131952, 0.632337, 0.100000
1.82, 1.128600, 0.630923, 0.100000
1.83, 1.125308, 0.629700, 0.100000
1.84, 1.122086, 0.629165, 0.100000
1.85, 1.118958, 0.629414, 0.100000
1.86, 1.115951, 0.630121, 0.100000
1.87, 1.113086, 0.630757, 0.100000
1.88, 1.110372, 0.630884, 0.100000
1.89, 1.107803, 0.630382, 0.100000
1.9, 1.105371, 0.629487, 0.100000
1.91, 1.103069, 0.628629, 0.100000
1.92, 1.100899, 0.628192, 0.100000
1.93, 1.098874, 0.628308, 0.100000
1.94, 1.097011, 0.628811, 0.100000
1.95, 1.095322, 0.629355, 0.100000
1.96, 1.093814, 0.629610, 0.100000
1.97, 1.092480, 0.629439, 0.100000
1.98, 1.091314, 0.628952, 0.100000
1.99, 1.090305, 0.628425, 0.100000
2, 1.089450, 0.628142, 0.100000
2.01, 1.088754, 0.628236, 0.100000
2.02, 1.088223, 0.628639, 0.100000
2.03, 1.087864, 0.629130, 0.100000
2.04, 1.087677, 0.629469, 0.100000
2.05, 1.087658, 0.629526, 0.100000
2.06, 1.087795, 0.629340, 0.100000
2.07, 1.088080, 0.629081, 0.100000
2.08, 1.088503, 0.628951, 0.100000
2.09, 1.089063, 0.629070, 0.100000
2.1, 1.089759, 0.629422, 0.100000
2.11, 1.090593, 0.629871, 0.100000
2.12, 1.091562, 0.630250, 0.100000
2.13, 1.092659, 0.630446, 0.100000
2.14, 1.093873, 0.630459, 0.100000
2.15, 1.095192, 0.630390, 0.100000
2.16, 1.096608, 0.630378, 0.100000
2.17, 1.098114, 0.630523, 0.100000
2.18, 1.099706, 0.630834, 0.100000
2.19, 1.101380, 0.631234, 0.100000
2.2, 1.103132, 0.631607, 0.100000
2.21, 1.104955, 0.631863, 0.100000
2.22, 1.106838, 0.631984, 0.100000
2.23, 1.108770, 0.632026, 0.100000
2.24, 1.110741, 0.632082, 0.100000
2.25, 1.112743, 0.632229, 0.100000
2.26, 1.114772, 0.632489, 0.100000
2.27, 1.116821, 0.632821, 0.100000
2.28, 1.118886, 0.633148, 0.100000
2.29, 1.120960, 0.633400, 0.100000
2.3, 1.123034, 0.633553, 0.100000
2.31, 1.125098, 0.633635, 0.100000
2.32, 1.127145, 0.633707, 0.100000
2.33, 1.129167, 0.633827, 0.100000
2.34, 1.131159, 0.634019, 0.100000
2.35, 1.133115, 0.634264, 0.100000
2.36, 1.135033, 0.634513, 0.100000
2.37, 1.136906, 0.634715, 0.100000
2.38, 1.138730, 0.634845, 0.100000
2.39, 1.140496, 0.634914, 0.100000
2.4, 1.142199, 0.634962, 0.100000
2.41, 1.143834, 0.635030, 0.100000
2.42, 1.145396, 0.635141, 0.100000
2.43, 1.146885, 0.635289, 0.100000
2.44, 1.148296, 0.635443, 0.100000
2.45, 1.149628, 0.635568, 0.100000
2.46, 1.150877, 0.635642, 0.100000
2.47, 1.152039, 0.635667, 0.100000
2.48, 1.153113, 0.635666, 0.100000
2.49, 1.154095, 0.635670, 0.100000
2.5, 1.154984, 0.635698, 0.100000
2.51, 1.155780, 0.635751, 0.100000
2.52, 1.156482, 0.635810, 0.100000
2.53, 1.157092, 0.635852, 0.100000
2.54, 1.157608, 0.635859, 0.100000
2.55, 1.158030, 0.635828, 0.100000
2.56, 1.158358, 0.635774, 0.100000
2.57, 1.158593, 0.635716, 0.100000
2.58, 1.158736, 0.635671, 0.100000
2.59, 1.158788, 0.635643, 0.100000
2.6, 1.158752, 0.635622, 0.100000
2.61, 1.158631, 0.635592, 0.100000
2.62, 1.158426, 0.635539, 0.100000
2.63, 1.158139, 0.635460, 0.100000
2.64, 1.157773, 0.635361, 0.100000
2.65, 1.157331, 0.635257, 0.100000
2.66, 1.156815, 0.635161, 0.100000
2.67, 1.156229, 0.635076, 0.100000
2.68, 1.155577, 0.634999, 0.100000
2.69, 1.154862, 0.634920, 0.100000
2.7, 1.154089, 0.634827, 0.100000
2.71, 1.153261, 0.634718, 0.100000
2.72, 1.152383, 0.634595, 0.100000
2.73, 1.151457, 0.634468, 0.100000
2.74, 1.150487, 0.634346, 0.100000
2.75, 1.149479, 0.634234, 0.100000
2.76, 1.148436, 0.634131, 0.100000
2.77, 1.147364, 0.634030, 0.100000
2.78, 1.146265, 0.633923, 0.100000
2.79, 1.145146, 0.633807, 0.100000
2.8, 1.144009, 0.633684, 0.100000
